trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
188,False,"{'a': 0.5, 'e': 0.2860149813147829}",20,0,0.06925816161762488,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.28531498131478294}",20,6,18.6553059645591,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.28461498131478297}",25,0,25.58316186541531,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.283914981314783}",20,12,-29.031348713937348,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.283214981314783}",25,9,0.6626999034947241,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.28251498131478303}",25,1,34.77029621732419,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.28181498131478305}",30,8,21.54332812124507,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.2811149813147831}",30,0,-26.727765477266903,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.2804149813147831}",20,7,-19.108641910862502,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.2797149813147831}",30,21,14.114760016230326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.27901498131478314}",20,8,-31.117549719223735,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
199,False,"{'a': 0.5, 'e': 0.27831498131478316}",25,3,-116.18922522545597,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 3}",1
200,False,"{'a': 0.5, 'e': 0.2776149813147832}",20,3,13.145802802237903,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.2769149813147832}",20,8,-29.64907840074256,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.2762149813147832}",35,25,2.7014180675785204,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.27551498131478325}",20,12,0.008494881522824294,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.27481498131478327}",20,0,19.62152905076558,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.2741149813147833}",20,1,12.754431390084251,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.2734149813147833}",30,17,12.035227820583238,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.27271498131478333}",25,13,-2.5983311809318623,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.27201498131478336}",20,12,16.611343474349198,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.2713149813147834}",20,8,-7.31343462102965,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.2706149813147834}",25,16,-39.757758101419434,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.2699149813147834}",30,1,-6.905214178342395,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
212,False,"{'a': 0.5, 'e': 0.26921498131478344}",25,10,14.106639399821614,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.26851498131478346}",25,8,19.20655032629299,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
